TagIndex||ActionIndex||ItemIndex||String
1||4||0||(うぅ……来ないでいいですけ
1||7||0||ど……このまま私に気付かない
1||10||0||で……ｽﾙｰしていい……やっぱり
1||13||0||それは困りますけど)……あ｡
1||16||0||うぅ……隠れてたのに見つかっ
1||19||0||てしまうなんて｡でもどうせ見つ
1||22||0||かると思っていたので……はい｡
1||25||0||見つかって､安心です……｡
1||28||0||事務所は……嫌いじゃないで
1||31||0||す……｡最近はわりと来ちゃって
1||34||0||ますし……でも今日はお隣さん
1||37||0||はいなかったみたいです……｡
1||40||0||それより､ﾌﾟﾛﾃﾞｭｰｻｰさんがもり
1||43||0||くぼを探していたってこと
1||46||0||は……お仕事のお話ですか?です
1||49||0||よね……そうですよね……うぅ｡
1||52||0||またﾋﾗﾋﾗの衣装を着て……たく
1||55||0||さんの人の前に出されて……眩
1||58||0||しいｽﾎﾟｯﾄﾗｲﾄを当てられて……
1||61||0||目立ってしまうんですね……｡
1||64||0||……ち､違うんですか? 今回は変
1||67||0||わったｸﾞﾗﾋﾞｱ撮影のお仕事……
1||70||0||ですか｡森のｾｯﾄで静かに撮影な
1||73||0||ら……できそうですけど……｡
1||76||0||もりくぼは名前に森と入ってい
1||79||0||ますし……静かな森で暮らした
1||82||0||い私に合ってるかも……｡
1||85||0||少しだけがんばってみます……｡
163||3||0||(うぅ……
254||10||0||ど……
371||10||0||で……
414||3||0||ｽﾙｰしていい……
441||10||0||それは困りますけど)
464||3||0||…
478||3||0||…
530||3||0||うぅ……
581||10||0||てしまうなんて｡
603||10||0||かると思っていたので……
640||1||0||見つかって､
676||3||0||事務所は……
692||10||0||す……｡
712||10||0||ますし……
762||3||0||それより､
777||19||0||は……
803||3||0||お仕事のお話ですか?
824||10||0||よね……
844||3||0||そうですよね……
867||3||0||またﾋﾗﾋﾗの衣装を着て……
932||10||0||さんの人の前に出されて……
1068||3||0||……ち､
1085||3||0||違うんですか?
1124||1||0||ですか｡
1139||10||0||ら……
1189||12||0||ますし……
